# cohort	faculty	department	program	course	category	source	pdf_page	course_code	credits
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	37	P0823	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術科の内容と実践	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	38	P0840	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術科教育法I	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	38	P0836	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術科教育法II	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	38	P0837	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術科教育法III	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	38	P0838	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術科教育法IV	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	38	P0839	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	美術館ワークショップ実習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	48	P4004	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	考古学特講	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	55	P6014	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	聴覚障害児のコミュニケーションと支援	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5035	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	聴覚障害児の心理と生理・病理	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5019	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	聴覚障害児の理解と支援	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5031	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	聴覚障害児指導法演習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5032	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	職業指導原論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	43	P1034	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	肢体不自由児の心理・生理・病理	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5011	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	肢体不自由児の教育方法	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	51	P5017	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	臨床医学・看護学臨床実習	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	54	P7036	3
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	臨床医学概論	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	54	P7025	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	自然地理学概論	専門科目	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	24	P0320	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	自然地理学演習	専門科目	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	24	P0322	4
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	自然地理学特講	専門科目	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	24	P0321	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションC(Discussion&writing)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	49	P4066	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションD(Debate&discussion)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0417	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションJ(Learning&presentingaboutJapan)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0422	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションP(Teaching&learningphonology)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0421	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションS(Speech&shortessays)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0416	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションT(Theater/drama)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	49	P4064	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語コミュニケーションW(LanguageTeachingforglobalcitizenship)	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0419	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語学概論A	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0401	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語学概論B	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0402	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語学演習A	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0404	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語学演習B	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0405	1
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語学演習C	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0440	2
2026	教育学部	学校教育教員養成課程	教科教育コース 社会選修 Bタイプ	英語文学・文化から教える英語テキスト	自由履修	https://www.ibaraki.ac.jp/m/uploads/2026/05/r8_04_edu_subject_s.pdf	26	P0415	2
